index,roomname,region,vanillaitemname,roomid,locationid,hiddenness,altlocationids
0,Morph Ball,Cliffhanger,Missile,0x786DE,0x786DE,open,0
1,Alpha Missile,Cliffhanger,Missile,0x78802,0x78802,chozo,0
2,Bombs,Cliffhanger,Missile,0x78404,0x78404,chozo,0
3,Red Pool Energy Tank,Cliffhanger,Missile,0x7896E,0x7896E,chozo,0
4,Morph Ball Redux,Cliffhanger,Missile,0x78716,0x78716,open,0
5,Crater Missile,Cliffhanger,Missile,0x7800C,0x7800C,hidden,0
6,Crater Xray,Cliffhanger,Missile,0x78018,0x78018,open,0x78026
7,Parlor Low Missile,Cliffhanger,Missile,0x780DE,0x780DE,hidden,0
8,G4 Missile,Cliffhanger,Missile,0x781D4,0x781D4,hidden,0
9,WS Entry Energy Tank,Cliffhanger,Missile,0x781E8,0x781E8,open,0x7C571
10,Crateria Kihunters Missile,Cliffhanger,Missile,0x7820A,0x7820A,hidden,0
11,Moat Missile,Cliffhanger,Missile,0x78248,0x78248,hidden,0
12,Crat-Red Elevator Missile,Cliffhanger,Missile,0x78256,0x78256,hidden,0
13,Climb Missile,Cliffhanger,Missile,0x7826E,0x7826E,chozo,0
14,Climb Experiments Power Bomb,Cliffhanger,Missile,0x78420,0x78420,hidden,0
15,Spazer,Cliffhanger,Missile,0x78432,0x78432,hidden,0
16,Speedkeep Flower Missile,Cliffhanger,Missile,0x78CCA,0x78CCA,hidden,0
17,Gauntlet Power Bomb,Cliffhanger,Missile,0x78470,0x78470,chozo,0
18,Spazer Eye Missile,Cliffhanger,Missile,0x78478,0x78478,chozo,0
19,Baby Kraid Missile,Cliffhanger,Missile,0x78518,0x78518,hidden,0
20,Zigzag Super Missile,Cliffhanger,Missile,0x7C48B,0x7C48B,open,0
21,Kraid Energy Tank,Cliffhanger,Missile,0x78550,0x78550,hidden,0
22,Big Pink Energy Tank,Cliffhanger,Missile,0x7860E,0x7860E,open,0
23,Billy Maze Super Energy Tank,Cliffhanger,Missile,0x7864A,0x7864A,open,0
